,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
162,000001.SH,20200413,2783.0476,2784.5979,2792.8906,2774.0808,2796.6312,-13.5836,-0.4857,177124554.0,184120284.1
163,000001.SH,20200410,2796.6312,2827.1873,2833.0148,2789.9756,2825.9036,-29.2724,-1.0359,233454768.0,246376307.2
164,000001.SH,20200409,2825.9036,2825.8393,2832.395,2820.4326,2815.3686,10.535,0.3742,238184843.0,247392988.0
165,000001.SH,20200408,2815.3686,2805.9166,2823.2139,2800.2963,2820.7634,-5.3948,-0.1913,243515305.0,253159668.1
166,000001.SH,20200407,2820.7634,2806.9676,2823.2767,2801.8386,2763.9874,56.776,2.0541,270198186.0,286627794.3
167,000001.SH,20200403,2763.9874,2773.5764,2780.5868,2754.0731,2780.6379,-16.6505,-0.5988,200837404.0,214062212.0
168,000001.SH,20200402,2780.6379,2720.2284,2780.6379,2719.9043,2734.5215,46.1164,1.6865,217864600.0,233111575.7
169,000001.SH,20200401,2734.5215,2743.5409,2773.3641,2731.0794,2750.2962,-15.7747,-0.5736,217253427.0,225624646.6
170,000001.SH,20200331,2750.2962,2767.3072,2771.1683,2743.1154,2747.2138,3.0824,0.1122,218598674.0,224271061.6
171,000001.SH,20200330,2747.2138,2739.7191,2759.0989,2723.0543,2772.2033,-24.9895,-0.9014,239706604.0,250687144.2
172,000001.SH,20200327,2772.2033,2792.9843,2805.5479,2771.7563,2764.9109,7.2924,0.2637,240764066.0,253630725.9
173,000001.SH,20200326,2764.9109,2761.8961,2788.5038,2753.4282,2781.5913,-16.6804,-0.5997,234084022.0,248279785.0
174,000001.SH,20200325,2781.5913,2775.3032,2788.6354,2757.8016,2722.4381,59.1532,2.1728,273144466.0,293191204.4
175,000001.SH,20200324,2722.4381,2703.0193,2723.4066,2667.1333,2660.1673,62.2708,2.3409,257021930.0,278999306.6
176,000001.SH,20200323,2660.1674,2677.591,2703.3295,2656.5008,2745.6182,-85.4508,-3.1123,249820250.0,268423242.0
177,000001.SH,20200320,2745.6182,2727.0186,2751.8964,2702.4933,2702.1296,43.4886,1.6094,252019507.0,281583369.7
178,000001.SH,20200319,2702.1296,2719.4063,2736.82,2646.8048,2728.7563,-26.6267,-0.9758,302302747.0,330518008.5
179,000001.SH,20200318,2728.7563,2792.3221,2815.8737,2728.7563,2779.6407,-50.8844,-1.8306,291159852.0,318611391.6
180,000001.SH,20200317,2779.6407,2796.284,2826.9068,2715.2213,2789.2537,-9.613,-0.3446,306149677.0,323012822.8
181,000001.SH,20200316,2789.2537,2897.3009,2898.0349,2784.6616,2887.4265,-98.1728,-3.4,351878665.0,375627000.8
182,000001.SH,20200313,2887.4265,2804.2322,2910.8812,2799.9841,2923.4856,-36.0591,-1.2334,366450436.0,393019665.2
183,000001.SH,20200312,2923.4856,2936.0163,2944.4651,2906.2838,2968.5174,-45.0318,-1.517,307778457.0,328209202.4
184,000001.SH,20200311,2968.5174,3001.7616,3010.0286,2968.5174,2996.7618,-28.2444,-0.9425,352470970.0,378766619.0
185,000001.SH,20200310,2996.7618,2918.9347,3000.2963,2904.7989,2943.2907,53.4711,1.8167,393296648.0,425017184.8
186,000001.SH,20200309,2943.2907,2987.1805,2989.2051,2940.7138,3034.5113,-91.2206,-3.0061,414560736.0,438143854.6
187,000001.SH,20200306,3034.5113,3039.9395,3052.4439,3029.4632,3071.6771,-37.1658,-1.21,362061533.0,377388542.7
188,000001.SH,20200305,3071.6771,3036.1545,3074.2571,3022.9262,3011.6657,60.0114,1.9926,445425806.0,482770471.4
189,000001.SH,20200304,3011.6657,2981.806,3012.0035,2974.3583,2992.8968,18.7689,0.6271,353338278.0,389893917.5
190,000001.SH,20200303,2992.8968,3006.8888,3026.842,2976.623,2970.9312,21.9656,0.7394,410108047.0,447053681.5
191,000001.SH,20200302,2970.9312,2899.31,2982.5068,2899.31,2880.3038,90.6274,3.1465,367333369.0,397244201.2
192,000001.SH,20200228,2880.3038,2924.6407,2948.1261,2878.5443,2991.3288,-111.025,-3.7116,401216914.0,432657775.0
193,000001.SH,20200227,2991.3288,2992.4919,3009.4575,2980.4774,2987.9287,3.4001,0.1138,350523658.0,395955641.5
194,000001.SH,20200226,2987.9287,2978.4195,3028.7788,2974.9423,3013.0501,-25.1214,-0.8338,469049552.0,495341447.3
195,000001.SH,20200225,3013.0501,2982.0696,3016.9458,2943.7168,3031.2333,-18.1832,-0.5999,441622762.0,513128644.6
196,000001.SH,20200224,3031.2333,3027.8925,3042.1821,3007.3557,3039.6692,-8.4359,-0.2775,370430044.0,451601363.1
197,000001.SH,20200221,3039.6692,3022.2455,3058.898,3020.141,3030.1542,9.515,0.314,364557276.0,445062076.7
198,000001.SH,20200220,3030.1542,2981.8802,3031.3706,2968.4451,2975.4019,54.7523,1.8402,345732881.0,413761364.1
199,000001.SH,20200219,2975.4019,2979.5223,2998.2718,2971.8219,2984.9716,-9.5697,-0.3206,315141151.0,381331160.4
200,000001.SH,20200218,2984.9716,2981.4097,2990.6003,2960.7751,2983.6224,1.3492,0.0452,311665913.0,374998562.6
201,000001.SH,20200217,2983.6224,2924.9913,2983.6371,2924.9913,2917.0077,66.6147,2.2837,313198007.0,367014340.1
202,000001.SH,20200214,2917.0077,2899.8659,2926.9427,2899.5739,2906.0735,10.9342,0.3763,250650627.0,308080368.7
203,000001.SH,20200213,2906.0735,2927.1443,2935.406,2901.2425,2926.8991,-20.8256,-0.7115,274804844.0,334526327.4
204,000001.SH,20200212,2926.8991,2895.5561,2926.8991,2892.424,2901.6744,25.2247,0.8693,248733429.0,297534420.5
205,000001.SH,20200211,2901.6744,2894.5414,2913.8159,2882.2428,2890.4878,11.1866,0.387,269168335.0,302956847.2
206,000001.SH,20200210,2890.4878,2860.499,2891.8479,2851.0503,2875.9636,14.5242,0.505,294929784.0,341520398.3
207,000001.SH,20200207,2875.9636,2858.9324,2875.9636,2838.7702,2866.5097,9.4539,0.3298,309479642.0,362384162.5
208,000001.SH,20200206,2866.5097,2826.8851,2876.5878,2807.609,2818.0878,48.4219,1.7183,316392142.0,358582589.7
209,000001.SH,20200205,2818.0878,2792.3713,2842.7426,2778.8641,2783.2875,34.8003,1.2503,309761823.0,349184114.8
210,000001.SH,20200204,2783.2875,2685.2693,2786.1642,2685.2693,2746.6056,36.6819,1.3355,364046200.0,374068466.8
211,000001.SH,20200203,2746.6056,2716.6978,2766.5773,2716.6978,2976.5281,-229.9225,-7.7245,215912103.0,257019597.4
212,000001.SH,20200123,2976.5281,3037.9524,3045.0406,2955.346,3060.7545,-84.2264,-2.7518,272763234.0,327490360.4
213,000001.SH,20200122,3060.7545,3038.4868,3069.2527,3006.2677,3052.1419,8.6126,0.2822,223852865.0,278456924.0
214,000001.SH,20200121,3052.1419,3085.7895,3085.7895,3051.2301,3095.7873,-43.6454,-1.4098,234830739.0,286268098.2
215,000001.SH,20200120,3095.7873,3082.1134,3096.3105,3070.4801,3075.4955,20.2918,0.6598,210493341.0,271122455.4
216,000001.SH,20200117,3075.4955,3081.4641,3091.9516,3067.2525,3074.0814,1.4141,0.046,190304299.0,242273045.3
217,000001.SH,20200116,3074.0814,3095.7342,3096.3717,3070.884,3090.0379,-15.9565,-0.5164,203375475.0,236843360.1
218,000001.SH,20200115,3090.0379,3103.1749,3107.9426,3082.0425,3106.8204,-16.7825,-0.5402,202313023.0,232913446.7
219,000001.SH,20200114,3106.8204,3120.6669,3127.1692,3105.6049,3115.5696,-8.7492,-0.2808,229973769.0,271542441.4
220,000001.SH,20200113,3115.5696,3091.493,3115.5696,3075.3837,3092.2907,23.2789,0.7528,210621004.0,258524058.0
221,000001.SH,20200110,3092.2907,3102.2938,3105.2248,3081.3961,3094.8819,-2.5912,-0.0837,210442462.0,241555668.1
222,000001.SH,20200109,3094.8819,3082.6398,3097.3291,3080.1313,3066.8925,27.9894,0.9126,243435649.0,271716020.9
223,000001.SH,20200108,3066.8925,3094.2389,3094.2389,3059.1313,3104.8015,-37.909,-1.221,297872553.0,306517394.5
224,000001.SH,20200107,3104.8015,3085.4882,3105.4507,3084.329,3083.4083,21.3932,0.6938,276583111.0,288159227.7
225,000001.SH,20200106,3083.4083,3070.9088,3107.2032,3065.3088,3083.7858,-0.3775,-0.0122,312575842.0,331182549.9
226,000001.SH,20200103,3083.7858,3089.022,3093.8192,3074.5178,3085.1976,-1.4118,-0.0458,261496667.0,289991708.4
227,000001.SH,20200102,3085.1976,3066.3357,3098.1001,3066.3357,3050.124,35.0736,1.1499,292470208.0,327197122.6
228,000001.SH,20191231,3050.124,3036.3858,3051.677,3030.5122,3040.0239,10.1001,0.3322,217429022.0,226763991.3
229,000001.SH,20191230,3040.0239,2998.1689,3041.3969,2983.3436,3005.0355,34.9884,1.1643,248066530.0,267382994.4
230,000001.SH,20191227,3005.0355,3006.8517,3036.1127,3003.6309,3007.3546,-2.3191,-0.0771,247102779.0,258118739.4
231,000001.SH,20191226,3007.3546,2981.2485,3007.3546,2980.3966,2981.8805,25.4741,0.8543,182440426.0,195586079.1
232,000001.SH,20191225,2981.8805,2980.4276,2988.2924,2970.6572,2982.6806,-0.8001,-0.0268,175654028.0,189608562.7
233,000001.SH,20191224,2982.6806,2965.8258,2983.8194,2960.6839,2962.7513,19.9293,0.6727,163030250.0,167366667.3
234,000001.SH,20191223,2962.7513,2999.0357,3009.338,2960.435,3004.9376,-42.1863,-1.4039,205716617.0,218484273.1
235,000001.SH,20191220,3004.9376,3019.6395,3027.4835,3002.2601,3017.0658,-12.1282,-0.402,215075755.0,223305036.0
236,000001.SH,20191219,3017.0658,3017.153,3021.4176,3007.992,3017.0444,0.0214,0.0007,208624264.0,220688292.4
237,000001.SH,20191218,3017.0444,3021.4657,3033.2337,3011.7207,3022.4219,-5.3775,-0.1779,244089691.0,259173631.8
238,000001.SH,20191217,3022.4219,2985.2619,3039.3834,2982.4956,2984.3925,38.0294,1.2743,293032254.0,302090897.5
239,000001.SH,20191216,2984.3925,2970.9694,2984.6414,2958.7064,2967.6764,16.7161,0.5633,211862119.0,237666763.2
240,000001.SH,20191213,2967.6764,2937.7763,2969.9809,2935.849,2915.6983,51.9781,1.7827,211978585.0,234036541.4
241,000001.SH,20191212,2915.698,2926.3416,2926.3416,2913.4755,2924.4173,-8.485,-0.2901,151534230.0,165845540.1
242,000001.SH,20191211,2924.4173,2922.602,2928.2564,2915.0008,2917.3157,7.1016,0.2434,165541087.0,175716091.7
243,000001.SH,20191210,2917.3157,2908.9439,2919.2011,2902.7896,2914.4775,2.8382,0.0974,170123998.0,180617291.5
244,000001.SH,20191209,2914.4775,2914.4576,2919.5888,2905.2503,2912.0136,2.4639,0.0846,160796527.0,174546478.2
245,000001.SH,20191206,2912.0136,2902.278,2912.0136,2894.7513,2899.4685,12.5451,0.4327,134128878.0,149507333.3
246,000001.SH,20191205,2899.4685,2886.5164,2902.002,2885.0798,2878.1157,21.3528,0.7419,143163096.0,159736592.3
247,000001.SH,20191204,2878.1157,2876.9079,2882.4981,2869.4219,2884.6988,-6.5831,-0.2282,125543653.0,135879221.5
248,000001.SH,20191203,2884.6988,2869.8822,2884.8559,2857.3204,2875.8072,8.8916,0.3092,123778742.0,135278611.9
249,000001.SH,20191202,2875.8072,2874.4484,2888.8897,2870.2424,2871.9813,3.8259,0.1332,128755806.0,139351761.5
250,000001.SH,20191129,2871.9813,2885.9744,2892.3882,2858.5808,2889.6934,-17.7121,-0.6129,122612968.0,140371316.4
251,000001.SH,20191128,2889.6934,2902.3644,2909.8398,2883.4339,2903.1947,-13.5013,-0.465,119522468.0,122616545.2
252,000001.SH,20191127,2903.1947,2905.3959,2914.4865,2893.4175,2907.0602,-3.8655,-0.133,133862205.0,137449697.2
253,000001.SH,20191126,2907.0602,2912.5209,2915.0411,2897.9276,2906.1688,0.8914,0.0307,170004663.0,165496766.2
254,000001.SH,20191125,2906.1688,2885.6133,2906.6091,2880.6542,2885.2884,20.8804,0.7237,178587429.0,174234583.3
255,000001.SH,20191122,2885.2884,2906.2433,2925.0178,2873.99,2903.6379,-18.3495,-0.6319,158623365.0,180593829.2
256,000001.SH,20191121,2903.6379,2902.5529,2910.3608,2891.5314,2911.0534,-7.4155,-0.2547,123458607.0,139851207.9
257,000001.SH,20191120,2911.0534,2928.1068,2930.4929,2907.4229,2933.9908,-22.9374,-0.7818,137357530.0,158543195.6
258,000001.SH,20191119,2933.9908,2904.2783,2933.9908,2902.855,2909.2002,24.7906,0.8521,135417604.0,155770741.3
259,000001.SH,20191118,2909.2002,2889.5495,2911.3784,2884.0883,2891.3431,17.8571,0.6176,124433177.0,144677413.7
260,000001.SH,20191115,2891.3431,2911.35,2917.8293,2891.2043,2909.8697,-18.5266,-0.6367,135519463.0,152576392.7
261,000001.SH,20191114,2909.8697,2907.7358,2917.374,2899.6186,2905.2409,4.6288,0.1593,129145448.0,151576183.4
262,000001.SH,20191113,2905.2409,2913.0197,2913.8612,2893.9712,2914.8232,-9.5823,-0.3287,129765841.0,146943636.7
263,000001.SH,20191112,2914.8232,2912.9956,2918.303,2891.5105,2909.9746,4.8486,0.1666,129729154.0,139060726.2
264,000001.SH,20191111,2909.9746,2949.9619,2949.9619,2906.769,2964.1849,-54.2103,-1.8288,157916105.0,166285140.3
265,000001.SH,20191108,2964.1849,2993.9773,2998.7594,2962.8447,2978.7144,-14.5295,-0.4878,149742107.0,173867227.2
266,000001.SH,20191107,2978.7144,2978.1531,2988.955,2969.1201,2978.5955,0.1189,0.004,136952678.0,155834877.7
267,000001.SH,20191106,2978.5955,2992.0399,2995.5629,2969.7242,2991.5622,-12.9667,-0.4334,165263547.0,183985236.2
268,000001.SH,20191105,2991.5622,2977.7048,3008.3144,2968.0324,2975.4919,16.0703,0.5401,179891593.0,203691630.2
269,000001.SH,20191104,2975.4919,2964.576,2983.0581,2964.576,2958.1992,17.2927,0.5846,167248364.0,188710094.7
270,000001.SH,20191101,2958.1992,2924.3402,2959.833,2917.1455,2929.0561,29.1431,0.995,159907373.0,175630839.1
271,000001.SH,20191031,2929.0561,2944.8427,2946.7523,2923.5167,2939.3209,-10.2648,-0.3492,161571483.0,181801937.4
272,000001.SH,20191030,2939.3209,2949.4631,2953.2986,2934.8279,2954.176,-14.8551,-0.5029,158798110.0,181529501.3
273,000001.SH,20191029,2954.176,2979.0365,2979.0365,2954.176,2980.0498,-25.8738,-0.8682,166110058.0,195288081.6
274,000001.SH,20191028,2980.0498,2958.686,2980.128,2956.9607,2954.9327,25.1171,0.85,173731481.0,198817012.2
275,000001.SH,20191025,2954.9327,2940.4741,2958.2409,2920.5195,2940.9215,14.0112,0.4764,136860706.0,160224090.6
276,000001.SH,20191024,2940.9215,2944.0067,2953.0441,2927.0612,2941.6188,-0.6973,-0.0237,126540290.0,141667233.0
277,000001.SH,20191023,2941.6188,2952.9693,2957.2995,2934.6274,2954.3799,-12.7611,-0.4319,123812881.0,139653650.5
278,000001.SH,20191022,2954.3799,2945.6001,2954.6415,2934.3873,2939.6179,14.762,0.5022,117482048.0,130381741.2
279,000001.SH,20191021,2939.6179,2933.8969,2940.3246,2917.6884,2938.1413,1.4766,0.0503,132475107.0,145685881.2
280,000001.SH,20191018,2938.1413,2982.3417,2987.2035,2933.2424,2977.3342,-39.1929,-1.3164,149990678.0,162018272.3
281,000001.SH,20191017,2977.3342,2979.9929,2986.7191,2969.568,2978.7124,-1.3782,-0.0463,122527614.0,136051252.1
282,000001.SH,20191016,2978.7124,2992.6103,3010.4241,2975.9233,2991.0459,-12.3335,-0.4123,149885496.0,166791549.4
283,000001.SH,20191015,2991.0459,3005.6646,3005.6646,2986.3033,3007.8834,-16.8375,-0.5598,155376904.0,169531932.5
284,000001.SH,20191014,3007.8834,2993.9617,3026.3834,2989.8125,2973.6558,34.2276,1.151,208614802.0,221201755.7
285,000001.SH,20191011,2973.6558,2954.8189,2980.7875,2943.0137,2947.7106,25.9452,0.8802,161203746.0,182747393.1
286,000001.SH,20191010,2947.7106,2923.7069,2949.2404,2918.2284,2924.8566,22.854,0.7814,134239752.0,157159976.8
287,000001.SH,20191009,2924.8566,2902.0751,2924.8566,2891.5394,2913.5704,11.2862,0.3874,130424144.0,150940230.8
288,000001.SH,20191008,2913.5704,2905.7559,2933.0163,2905.7559,2905.1892,8.3812,0.2885,125535812.0,151980792.0
289,000001.SH,20190930,2905.1892,2927.9165,2936.482,2905.1892,2932.167,-26.9778,-0.9201,116646811.0,142591702.5
290,000001.SH,20190927,2932.167,2929.486,2939.0789,2920.93,2929.0875,3.4616,0.1182,132905777.0,153311002.4
291,000001.SH,20190926,2929.0875,2964.4776,2970.0354,2928.2589,2955.4325,-26.345,-0.8914,188932541.0,216277562.9
292,000001.SH,20190925,2955.4325,2977.6676,2977.6676,2955.4325,2985.3406,-29.9081,-1.0018,168543135.0,203782754.2
293,000001.SH,20190924,2985.3406,2979.4752,3002.8967,2973.7601,2977.0767,8.2639,0.2776,163902761.0,206245805.6
294,000001.SH,20190923,2977.0767,2998.3995,2998.3995,2960.827,3006.4467,-29.37,-0.9769,168139450.0,199130548.8
295,000001.SH,20190920,3006.4467,3004.8142,3011.34,2996.1929,2999.2789,7.1678,0.239,182145302.0,218390586.9
296,000001.SH,20190919,2999.2789,2992.9222,2999.2789,2975.3978,2985.6586,13.6203,0.4562,162690615.0,193206549.5
297,000001.SH,20190918,2985.6586,2984.0837,2996.4022,2982.4003,2978.1178,7.5408,0.2532,168046699.0,199953631.6
298,000001.SH,20190917,2978.1178,3023.7109,3023.7109,2970.5704,3030.7544,-52.6366,-1.7367,223338061.0,237738935.9
299,000001.SH,20190916,3030.7544,3041.922,3042.9284,3020.0495,3031.2351,-0.4807,-0.0159,221878959.0,237442265.4
300,000001.SH,20190912,3031.2351,3016.6267,3033.473,3005.1948,3008.8118,22.4233,0.7453,196968701.0,224576025.3
301,000001.SH,20190911,3008.8118,3029.9334,3030.557,3004.2152,3021.2024,-12.3906,-0.4101,229837362.0,263389555.0
302,000001.SH,20190910,3021.2024,3027.4103,3027.4103,3005.3825,3024.7388,-3.5364,-0.1169,240012947.0,275321751.6
303,000001.SH,20190909,3024.7388,3023.778,3026.2398,3005.6949,2999.6013,25.1375,0.838,243377752.0,286236532.1
304,000001.SH,20190906,2999.6013,2996.6216,2999.9434,2981.5983,2985.8648,13.7365,0.4601,216826035.0,258318744.9
305,000001.SH,20190905,2985.8648,2972.6619,3015.8443,2972.6619,2957.4116,28.4532,0.9621,305438706.0,340200666.6
306,000001.SH,20190904,2957.4116,2927.747,2957.4116,2925.8825,2930.1538,27.2578,0.9303,225495907.0,251212694.0
307,000001.SH,20190903,2930.1538,2925.9422,2930.1538,2915.1974,2924.1063,6.0475,0.2068,189001216.0,225070157.3
308,000001.SH,20190902,2924.1063,2886.9418,2928.4793,2883.6823,2886.2365,37.8698,1.3121,202786807.0,226043693.3
309,000001.SH,20190830,2886.2365,2907.3825,2914.5767,2874.1028,2890.9192,-4.6827,-0.162,193959951.0,224751169.9
310,000001.SH,20190829,2890.9192,2895.9991,2898.6046,2878.5878,2893.7564,-2.8372,-0.098,178613082.0,196332770.5
311,000001.SH,20190828,2893.7564,2901.6267,2905.4354,2887.0115,2902.1932,-8.4368,-0.2907,183097903.0,201805050.6
312,000001.SH,20190827,2902.1932,2879.5154,2919.6444,2879.406,2863.5673,38.6259,1.3489,208141794.0,230999692.9
313,000001.SH,20190826,2863.5673,2851.0158,2870.4939,2849.2381,2897.4253,-33.858,-1.1686,169895363.0,191036667.9
314,000001.SH,20190823,2897.4253,2885.151,2902.4563,2878.7443,2883.4358,13.9895,0.4852,159156826.0,192567132.7
315,000001.SH,20190822,2883.4358,2887.6649,2888.4969,2867.5522,2880.3307,3.1051,0.1078,149206215.0,169662167.2
316,000001.SH,20190821,2880.3307,2875.4708,2885.5861,2872.5573,2880.0012,0.3295,0.0114,159019665.0,183187275.2
317,000001.SH,20190820,2880.0012,2879.0816,2892.0796,2874.9988,2883.096,-3.0948,-0.1073,189677206.0,209774344.4
318,000001.SH,20190819,2883.096,2835.5181,2883.096,2829.8542,2823.8238,59.2722,2.099,214546668.0,247092216.3
319,000001.SH,20190816,2823.8238,2817.5708,2840.3164,2811.8016,2815.7976,8.0262,0.285,148582344.0,186139370.3
320,000001.SH,20190815,2815.7976,2762.339,2815.8964,2756.8341,2808.9146,6.883,0.245,152772152.0,173670539.2
321,000001.SH,20190814,2808.9146,2824.4864,2829.8906,2807.719,2797.2596,11.655,0.4167,144014641.0,173944883.3
322,000001.SH,20190813,2797.2596,2798.0512,2802.0415,2790.608,2814.9944,-17.7348,-0.63,130916505.0,153957510.6
